source_img,predicate,object_category,object_h,object_w,object_y,object_x,subject_category,subject_h,subject_w,subject_y,subject_x,y,channels,object_x_max,object_y_max,subject_x_max,subject_y_max,object_bbox,subject_bbox
2318520.jpg,wearing,hat,26,21,269,42,man,116,52,273,38,0,3,63,295,90,389,"(269, 295, 42, 63)","(273, 389, 38, 90)"
2387371.jpg,sitting on,table,325,499,50,1,cucumber,192,63,177,220,1,3,500,375,283,369,"(50, 375, 1, 500)","(177, 369, 220, 283)"
2316998.jpg,wearing,shirt,88,53,273,116,woman,225,119,246,112,0,3,169,361,231,471,"(273, 361, 116, 169)","(246, 471, 112, 231)"
2388841.jpg,wearing,jacket,93,210,185,57,man,203,226,75,52,0,3,267,278,278,278,"(185, 278, 57, 267)","(75, 278, 52, 278)"
2330790.jpg,wearing,shorts,118,163,225,130,person,463,332,11,55,0,3,293,343,387,474,"(225, 343, 130, 293)","(11, 474, 55, 387)"
2380655.jpg,sitting on,windowsill,24,406,155,92,plant,73,34,55,399,1,3,498,179,433,128,"(155, 179, 92, 498)","(55, 128, 399, 433)"
2319649.jpg,hanging from,ceiling,41,310,3,9,fixture,61,19,28,169,0,3,319,44,188,89,"(3, 44, 9, 319)","(28, 89, 169, 188)"
2391090.jpg,painted on,road,102,499,228,1,line,8,38,284,57,0,3,500,330,95,292,"(228, 330, 1, 500)","(284, 292, 57, 95)"
2389544.jpg,sitting on,snow,374,499,0,0,man,202,204,130,78,1,3,499,374,282,332,"(0, 374, 0, 499)","(130, 332, 78, 282)"
150415.jpg,sitting on,bench,70,137,318,798,man,117,99,263,877,1,3,935,388,976,380,"(318, 388, 798, 935)","(263, 380, 877, 976)"
2327655.jpg,wearing,skirt,68,71,170,181,girl,292,154,25,100,0,3,252,238,254,317,"(170, 238, 181, 252)","(25, 317, 100, 254)"
2412562.jpg,sitting on,bench,35,67,210,365,person,42,29,195,426,1,3,432,245,455,237,"(210, 245, 365, 432)","(195, 237, 426, 455)"
2401022.jpg,wearing,pants,135,117,197,135,man,332,193,0,108,0,3,252,332,301,332,"(197, 332, 135, 252)","(0, 332, 108, 301)"
2403648.jpg,hanging from,mantelpiece,329,46,13,453,bag,39,31,106,463,0,3,499,342,494,145,"(13, 342, 453, 499)","(106, 145, 463, 494)"
2315497.jpg,wearing,shirt,65,102,308,135,man,96,100,277,141,0,3,237,373,241,373,"(308, 373, 135, 237)","(277, 373, 141, 241)"
2365474.jpg,sitting on,floor,246,387,127,1,stereo,29,45,231,287,1,3,388,373,332,260,"(127, 373, 1, 388)","(231, 260, 287, 332)"
2404827.jpg,wearing,hat,30,17,0,296,person,188,124,0,184,0,3,313,30,308,188,"(0, 30, 296, 313)","(0, 188, 184, 308)"
2354140.jpg,sitting on,bench,94,191,100,101,person,112,40,80,180,1,3,292,194,220,192,"(100, 194, 101, 292)","(80, 192, 180, 220)"
2403761.jpg,sitting on,table,369,493,1,4,orange,152,158,18,179,1,3,497,370,337,170,"(1, 370, 4, 497)","(18, 170, 179, 337)"
2363282.jpg,sitting on,table,370,492,5,2,tray,335,496,37,3,1,3,494,375,499,372,"(5, 375, 2, 494)","(37, 372, 3, 499)"
2387036.jpg,sitting on,plate,47,91,203,264,desert,17,16,216,298,1,3,355,250,314,233,"(203, 250, 264, 355)","(216, 233, 298, 314)"
2390785.jpg,sitting on,sidewalk,171,337,204,1,cone,149,60,226,109,1,3,338,375,169,375,"(204, 375, 1, 338)","(226, 375, 109, 169)"
2357467.jpg,sitting on,mattress,119,498,214,1,man,332,228,1,42,1,3,499,333,270,333,"(214, 333, 1, 499)","(1, 333, 42, 270)"
2409628.jpg,wearing,black,66,32,223,312,person,84,44,211,308,0,3,344,289,352,295,"(223, 289, 312, 344)","(211, 295, 308, 352)"
2356577.jpg,wearing,bracelet,29,29,295,220,woman,487,250,12,1,0,3,249,324,251,499,"(295, 324, 220, 249)","(12, 499, 1, 251)"
2315889.jpg,sitting on,stoop,13,25,105,363,man,35,21,81,362,1,3,388,118,383,116,"(105, 118, 363, 388)","(81, 116, 362, 383)"
2409850.jpg,sitting on,desk,184,492,188,7,laptop,310,233,5,2,1,3,499,372,235,315,"(188, 372, 7, 499)","(5, 315, 2, 235)"
2403532.jpg,riding,wave,92,499,123,0,man,48,53,138,174,0,3,499,215,227,186,"(123, 215, 0, 499)","(138, 186, 174, 227)"
2410490.jpg,wearing,helmet,27,28,212,151,man,112,73,212,112,0,3,179,239,185,324,"(212, 239, 151, 179)","(212, 324, 112, 185)"
2357107.jpg,wearing,pants,26,14,114,166,person,56,22,84,162,0,3,180,140,184,140,"(114, 140, 166, 180)","(84, 140, 162, 184)"
2395886.jpg,playing,football,46,85,182,92,person,429,258,58,101,0,3,177,228,359,487,"(182, 228, 92, 177)","(58, 487, 101, 359)"
2343131.jpg,sitting on,ledge,49,144,112,309,man,79,88,55,387,1,3,453,161,475,134,"(112, 161, 309, 453)","(55, 134, 387, 475)"
2370460.jpg,wearing,shirt,173,77,180,422,woman,459,122,9,371,0,3,499,353,493,468,"(180, 353, 422, 499)","(9, 468, 371, 493)"
2386167.jpg,growing on,rock,27,36,118,2,moss,23,34,119,1,0,3,38,145,35,142,"(118, 145, 2, 38)","(119, 142, 1, 35)"
2343325.jpg,wearing,pants,49,34,200,200,man,94,66,162,198,0,3,234,249,264,256,"(200, 249, 200, 234)","(162, 256, 198, 264)"
2367491.jpg,wearing,pants,33,18,94,81,man,85,47,47,73,0,3,99,127,120,132,"(94, 127, 81, 99)","(47, 132, 73, 120)"
2356689.jpg,covering,ground,248,329,251,4,grass,60,257,269,4,0,3,333,499,261,329,"(251, 499, 4, 333)","(269, 329, 4, 261)"
2370720.jpg,carrying,snowboard,280,60,33,161,man,279,154,104,148,0,3,221,313,302,383,"(33, 313, 161, 221)","(104, 383, 148, 302)"
2350216.jpg,sitting on,bench,51,149,37,238,men,179,478,33,14,1,3,387,88,492,212,"(37, 88, 238, 387)","(33, 212, 14, 492)"
2357079.jpg,sitting on,bed,133,437,145,1,laptop,244,287,17,102,1,3,438,278,389,261,"(145, 278, 1, 438)","(17, 261, 102, 389)"
2323325.jpg,wearing,shirt,51,61,109,130,man,84,83,66,141,0,3,191,160,224,150,"(109, 160, 130, 191)","(66, 150, 141, 224)"
2354258.jpg,sitting on,table,80,483,250,4,man,259,295,2,153,1,3,487,330,448,261,"(250, 330, 4, 487)","(2, 261, 153, 448)"
2336312.jpg,wearing,jacket,115,59,236,440,man,171,58,182,441,0,3,499,351,499,353,"(236, 351, 440, 499)","(182, 353, 441, 499)"
2377756.jpg,wearing,goggles,22,35,119,126,man,347,103,83,79,0,3,161,141,182,430,"(119, 141, 126, 161)","(83, 430, 79, 182)"
2397958.jpg,sitting on,beach,60,58,309,194,people,69,170,260,292,1,3,252,369,462,329,"(309, 369, 194, 252)","(260, 329, 292, 462)"
2414898.jpg,sitting on,bench,136,275,190,19,woman,128,74,141,208,1,3,294,326,282,269,"(190, 326, 19, 294)","(141, 269, 208, 282)"
2344707.jpg,sitting on,stove,110,93,210,266,pot,27,31,205,241,1,3,359,320,272,232,"(210, 320, 266, 359)","(205, 232, 241, 272)"
2319533.jpg,eating,grass,328,496,0,1,zebra,297,410,0,89,0,3,497,328,499,297,"(0, 328, 1, 497)","(0, 297, 89, 499)"
2416649.jpg,lying on,ground,310,445,64,54,umbrella,240,262,111,219,0,3,499,374,481,351,"(64, 374, 54, 499)","(111, 351, 219, 481)"
2395238.jpg,walking on,sand,94,455,277,39,person,63,24,223,138,0,3,494,371,162,286,"(277, 371, 39, 494)","(223, 286, 138, 162)"
2390596.jpg,wearing,sunglasses,14,29,41,294,man,298,219,22,150,0,3,323,55,369,320,"(41, 55, 294, 323)","(22, 320, 150, 369)"
2408294.jpg,sitting on,bench,185,429,82,2,person,86,86,2,130,1,3,431,267,216,88,"(82, 267, 2, 431)","(2, 88, 130, 216)"
2404368.jpg,wearing,shirt,140,113,115,184,man,275,123,69,182,0,3,297,255,305,344,"(115, 255, 184, 297)","(69, 344, 182, 305)"
2400652.jpg,sitting on,table,47,272,285,196,glass,38,39,294,387,1,3,468,332,426,332,"(285, 332, 196, 468)","(294, 332, 387, 426)"
2376750.jpg,sitting on,elephant,184,228,122,178,man,145,58,54,203,1,3,406,306,261,199,"(122, 306, 178, 406)","(54, 199, 203, 261)"
2411913.jpg,watching,tennis,272,329,227,0,person,79,25,266,35,0,3,329,499,60,345,"(227, 499, 0, 329)","(266, 345, 35, 60)"
150270.jpg,wearing,shirt,55,25,802,5,guy,156,39,774,0,0,3,30,857,39,930,"(802, 857, 5, 30)","(774, 930, 0, 39)"
2339916.jpg,sitting on,table,292,466,79,1,plate,32,102,148,172,1,3,467,371,274,180,"(79, 371, 1, 467)","(148, 180, 172, 274)"
2379621.jpg,standing on,sidewalk,249,290,245,84,shirt,38,28,217,191,0,3,374,494,219,255,"(245, 494, 84, 374)","(217, 255, 191, 219)"
2383334.jpg,hanging from,tree,74,141,2,0,leaf,12,7,48,105,0,3,141,76,112,60,"(2, 76, 0, 141)","(48, 60, 105, 112)"
2391853.jpg,wearing,jacket,127,101,61,111,woman,305,169,12,37,0,3,212,188,206,317,"(61, 188, 111, 212)","(12, 317, 37, 206)"
