Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model,Dash
0,Accuracy,0.9015,0,Relative Entropy,Generative,y
1,Accuracy,0.9637,0,Relative Entropy,Generative,y
2,Accuracy,0.9648,0,Relative Entropy,Generative,y
3,Accuracy,0.9648,0,Relative Entropy,Generative,y
4,Accuracy,0.9648,0,Relative Entropy,Generative,y
5,Accuracy,0.9648,0,Relative Entropy,Generative,y
6,Accuracy,0.9648,0,Relative Entropy,Generative,y
7,Accuracy,0.9648,0,Relative Entropy,Generative,y
8,Accuracy,0.9648,0,Relative Entropy,Generative,y
9,Accuracy,0.9648,0,Relative Entropy,Generative,y
10,Accuracy,0.9648,0,Relative Entropy,Generative,y
11,Accuracy,0.9648,0,Relative Entropy,Generative,y
12,Accuracy,0.9648,0,Relative Entropy,Generative,y
13,Accuracy,0.9648,0,Relative Entropy,Generative,y
14,Accuracy,0.9648,0,Relative Entropy,Generative,y
15,Accuracy,0.9648,0,Relative Entropy,Generative,y
16,Accuracy,0.9648,0,Relative Entropy,Generative,y
17,Accuracy,0.9648,0,Relative Entropy,Generative,y
18,Accuracy,0.9648,0,Relative Entropy,Generative,y
19,Accuracy,0.9648,0,Relative Entropy,Generative,y
20,Accuracy,0.9648,0,Relative Entropy,Generative,y
21,Accuracy,0.9648,0,Relative Entropy,Generative,y
22,Accuracy,0.9648,0,Relative Entropy,Generative,y
23,Accuracy,0.9648,0,Relative Entropy,Generative,y
24,Accuracy,0.9648,0,Relative Entropy,Generative,y
25,Accuracy,0.9648,0,Relative Entropy,Generative,y
26,Accuracy,0.9648,0,Relative Entropy,Generative,y
27,Accuracy,0.9648,0,Relative Entropy,Generative,y
28,Accuracy,0.9648,0,Relative Entropy,Generative,y
29,Accuracy,0.9648,0,Relative Entropy,Generative,y
30,Accuracy,0.9648,0,Relative Entropy,Generative,y
0,Accuracy,0.9015,1,Relative Entropy,Generative,y
1,Accuracy,0.9637,1,Relative Entropy,Generative,y
2,Accuracy,0.9648,1,Relative Entropy,Generative,y
3,Accuracy,0.9637,1,Relative Entropy,Generative,y
4,Accuracy,0.9637,1,Relative Entropy,Generative,y
5,Accuracy,0.9637,1,Relative Entropy,Generative,y
6,Accuracy,0.9637,1,Relative Entropy,Generative,y
7,Accuracy,0.9637,1,Relative Entropy,Generative,y
8,Accuracy,0.9637,1,Relative Entropy,Generative,y
9,Accuracy,0.9637,1,Relative Entropy,Generative,y
10,Accuracy,0.9648,1,Relative Entropy,Generative,y
11,Accuracy,0.9637,1,Relative Entropy,Generative,y
12,Accuracy,0.9637,1,Relative Entropy,Generative,y
13,Accuracy,0.9637,1,Relative Entropy,Generative,y
14,Accuracy,0.9648,1,Relative Entropy,Generative,y
15,Accuracy,0.9648,1,Relative Entropy,Generative,y
16,Accuracy,0.9648,1,Relative Entropy,Generative,y
17,Accuracy,0.9648,1,Relative Entropy,Generative,y
18,Accuracy,0.9648,1,Relative Entropy,Generative,y
19,Accuracy,0.9648,1,Relative Entropy,Generative,y
20,Accuracy,0.9648,1,Relative Entropy,Generative,y
21,Accuracy,0.9648,1,Relative Entropy,Generative,y
22,Accuracy,0.9648,1,Relative Entropy,Generative,y
23,Accuracy,0.9648,1,Relative Entropy,Generative,y
24,Accuracy,0.9648,1,Relative Entropy,Generative,y
25,Accuracy,0.9648,1,Relative Entropy,Generative,y
26,Accuracy,0.9648,1,Relative Entropy,Generative,y
27,Accuracy,0.9648,1,Relative Entropy,Generative,y
28,Accuracy,0.9648,1,Relative Entropy,Generative,y
29,Accuracy,0.9648,1,Relative Entropy,Generative,y
30,Accuracy,0.9648,1,Relative Entropy,Generative,y
0,Accuracy,0.9015,2,Relative Entropy,Generative,y
1,Accuracy,0.9637,2,Relative Entropy,Generative,y
2,Accuracy,0.9648,2,Relative Entropy,Generative,y
3,Accuracy,0.9648,2,Relative Entropy,Generative,y
4,Accuracy,0.9648,2,Relative Entropy,Generative,y
5,Accuracy,0.9648,2,Relative Entropy,Generative,y
6,Accuracy,0.9648,2,Relative Entropy,Generative,y
7,Accuracy,0.9648,2,Relative Entropy,Generative,y
8,Accuracy,0.9648,2,Relative Entropy,Generative,y
9,Accuracy,0.9648,2,Relative Entropy,Generative,y
10,Accuracy,0.9648,2,Relative Entropy,Generative,y
11,Accuracy,0.9648,2,Relative Entropy,Generative,y
12,Accuracy,0.9648,2,Relative Entropy,Generative,y
13,Accuracy,0.9648,2,Relative Entropy,Generative,y
14,Accuracy,0.9648,2,Relative Entropy,Generative,y
15,Accuracy,0.9648,2,Relative Entropy,Generative,y
16,Accuracy,0.9648,2,Relative Entropy,Generative,y
17,Accuracy,0.9648,2,Relative Entropy,Generative,y
18,Accuracy,0.9648,2,Relative Entropy,Generative,y
19,Accuracy,0.9648,2,Relative Entropy,Generative,y
20,Accuracy,0.9648,2,Relative Entropy,Generative,y
21,Accuracy,0.9648,2,Relative Entropy,Generative,y
22,Accuracy,0.9648,2,Relative Entropy,Generative,y
23,Accuracy,0.9648,2,Relative Entropy,Generative,y
24,Accuracy,0.9648,2,Relative Entropy,Generative,y
25,Accuracy,0.9637,2,Relative Entropy,Generative,y
26,Accuracy,0.9648,2,Relative Entropy,Generative,y
27,Accuracy,0.9637,2,Relative Entropy,Generative,y
28,Accuracy,0.9637,2,Relative Entropy,Generative,y
29,Accuracy,0.9637,2,Relative Entropy,Generative,y
30,Accuracy,0.9637,2,Relative Entropy,Generative,y
0,Accuracy,0.9015,3,Relative Entropy,Generative,y
1,Accuracy,0.9637,3,Relative Entropy,Generative,y
2,Accuracy,0.9648,3,Relative Entropy,Generative,y
3,Accuracy,0.9648,3,Relative Entropy,Generative,y
4,Accuracy,0.9648,3,Relative Entropy,Generative,y
5,Accuracy,0.9637,3,Relative Entropy,Generative,y
6,Accuracy,0.9648,3,Relative Entropy,Generative,y
7,Accuracy,0.9648,3,Relative Entropy,Generative,y
8,Accuracy,0.9648,3,Relative Entropy,Generative,y
9,Accuracy,0.9637,3,Relative Entropy,Generative,y
10,Accuracy,0.9648,3,Relative Entropy,Generative,y
11,Accuracy,0.9648,3,Relative Entropy,Generative,y
12,Accuracy,0.9637,3,Relative Entropy,Generative,y
13,Accuracy,0.9637,3,Relative Entropy,Generative,y
14,Accuracy,0.9637,3,Relative Entropy,Generative,y
15,Accuracy,0.9637,3,Relative Entropy,Generative,y
16,Accuracy,0.9648,3,Relative Entropy,Generative,y
17,Accuracy,0.9648,3,Relative Entropy,Generative,y
18,Accuracy,0.9648,3,Relative Entropy,Generative,y
19,Accuracy,0.9648,3,Relative Entropy,Generative,y
20,Accuracy,0.9648,3,Relative Entropy,Generative,y
21,Accuracy,0.9648,3,Relative Entropy,Generative,y
22,Accuracy,0.9648,3,Relative Entropy,Generative,y
23,Accuracy,0.9648,3,Relative Entropy,Generative,y
24,Accuracy,0.9648,3,Relative Entropy,Generative,y
25,Accuracy,0.9648,3,Relative Entropy,Generative,y
26,Accuracy,0.9648,3,Relative Entropy,Generative,y
27,Accuracy,0.9648,3,Relative Entropy,Generative,y
28,Accuracy,0.9648,3,Relative Entropy,Generative,y
29,Accuracy,0.9648,3,Relative Entropy,Generative,y
30,Accuracy,0.9648,3,Relative Entropy,Generative,y
0,Accuracy,0.8189,4,Relative Entropy,Generative,y
1,Accuracy,0.9637,4,Relative Entropy,Generative,y
2,Accuracy,0.9648,4,Relative Entropy,Generative,y
3,Accuracy,0.9648,4,Relative Entropy,Generative,y
4,Accuracy,0.9648,4,Relative Entropy,Generative,y
5,Accuracy,0.9648,4,Relative Entropy,Generative,y
6,Accuracy,0.9648,4,Relative Entropy,Generative,y
7,Accuracy,0.9648,4,Relative Entropy,Generative,y
8,Accuracy,0.9648,4,Relative Entropy,Generative,y
9,Accuracy,0.9648,4,Relative Entropy,Generative,y
10,Accuracy,0.9648,4,Relative Entropy,Generative,y
11,Accuracy,0.9648,4,Relative Entropy,Generative,y
12,Accuracy,0.9648,4,Relative Entropy,Generative,y
13,Accuracy,0.9648,4,Relative Entropy,Generative,y
14,Accuracy,0.9648,4,Relative Entropy,Generative,y
