Number of points acquired,Run,Entropy,Strategy
0,0,0.0,Relative Entropy
0,1,0.0,Relative Entropy
0,2,0.0,Relative Entropy
0,3,0.0,Relative Entropy
0,4,0.0,Relative Entropy
0,5,0.0,Relative Entropy
0,6,0.0,Relative Entropy
0,7,0.0,Relative Entropy
0,8,0.0,Relative Entropy
0,9,0.0,Relative Entropy
1,0,0.6931471805599453,Relative Entropy
1,1,0.6931471805599453,Relative Entropy
1,2,0.6931471805599453,Relative Entropy
1,3,0.6931471805599453,Relative Entropy
1,4,0.6931471805599453,Relative Entropy
1,5,0.6931471805599453,Relative Entropy
1,6,0.6931471805599453,Relative Entropy
1,7,0.6931471805599453,Relative Entropy
1,8,0.6931471805599453,Relative Entropy
1,9,0.6931471805599453,Relative Entropy
2,0,1.0986122886681096,Relative Entropy
2,1,1.0986122886681096,Relative Entropy
2,2,1.0986122886681096,Relative Entropy
2,3,1.0986122886681096,Relative Entropy
2,4,1.0986122886681096,Relative Entropy
2,5,1.0986122886681096,Relative Entropy
2,6,1.0986122886681096,Relative Entropy
2,7,1.0986122886681096,Relative Entropy
2,8,1.0986122886681096,Relative Entropy
2,9,0.6365141682948128,Relative Entropy
3,0,1.0397207708399179,Relative Entropy
3,1,1.0397207708399179,Relative Entropy
3,2,1.3862943611198906,Relative Entropy
3,3,1.0397207708399179,Relative Entropy
3,4,1.0397207708399179,Relative Entropy
3,5,1.0397207708399179,Relative Entropy
3,6,1.0397207708399179,Relative Entropy
3,7,1.0397207708399179,Relative Entropy
3,8,1.0397207708399179,Relative Entropy
3,9,0.6931471805599453,Relative Entropy
4,0,1.3321790402101223,Relative Entropy
4,1,1.3321790402101223,Relative Entropy
4,2,1.3321790402101223,Relative Entropy
4,3,0.9502705392332347,Relative Entropy
4,4,1.3321790402101223,Relative Entropy
4,5,0.9502705392332347,Relative Entropy
4,6,0.9502705392332347,Relative Entropy
4,7,1.3321790402101223,Relative Entropy
4,8,0.9502705392332347,Relative Entropy
4,9,1.0549201679861442,Relative Entropy
5,0,1.3296613488547582,Relative Entropy
5,1,1.3296613488547582,Relative Entropy
5,2,1.2424533248940002,Relative Entropy
5,3,0.8675632284814612,Relative Entropy
5,4,1.3296613488547582,Relative Entropy
5,5,0.8675632284814612,Relative Entropy
5,6,0.8675632284814612,Relative Entropy
5,7,1.3296613488547582,Relative Entropy
