Number of labeled points,Metric,Accuracy,Run,Approach,Model,Dash
0,Accuracy,0.9015,0,Active WeaSuL,Generative,n
1,Accuracy,0.9637,0,Active WeaSuL,Generative,n
2,Accuracy,0.9648,0,Active WeaSuL,Generative,n
3,Accuracy,0.9648,0,Active WeaSuL,Generative,n
4,Accuracy,0.9648,0,Active WeaSuL,Generative,n
5,Accuracy,0.9648,0,Active WeaSuL,Generative,n
6,Accuracy,0.9648,0,Active WeaSuL,Generative,n
7,Accuracy,0.9648,0,Active WeaSuL,Generative,n
8,Accuracy,0.9648,0,Active WeaSuL,Generative,n
9,Accuracy,0.9648,0,Active WeaSuL,Generative,n
10,Accuracy,0.9648,0,Active WeaSuL,Generative,n
11,Accuracy,0.9648,0,Active WeaSuL,Generative,n
12,Accuracy,0.9648,0,Active WeaSuL,Generative,n
13,Accuracy,0.9648,0,Active WeaSuL,Generative,n
14,Accuracy,0.9648,0,Active WeaSuL,Generative,n
15,Accuracy,0.9648,0,Active WeaSuL,Generative,n
16,Accuracy,0.9648,0,Active WeaSuL,Generative,n
17,Accuracy,0.9648,0,Active WeaSuL,Generative,n
18,Accuracy,0.9648,0,Active WeaSuL,Generative,n
19,Accuracy,0.9648,0,Active WeaSuL,Generative,n
20,Accuracy,0.9648,0,Active WeaSuL,Generative,n
21,Accuracy,0.9648,0,Active WeaSuL,Generative,n
22,Accuracy,0.9648,0,Active WeaSuL,Generative,n
23,Accuracy,0.9648,0,Active WeaSuL,Generative,n
24,Accuracy,0.9648,0,Active WeaSuL,Generative,n
25,Accuracy,0.9648,0,Active WeaSuL,Generative,n
26,Accuracy,0.9648,0,Active WeaSuL,Generative,n
27,Accuracy,0.9648,0,Active WeaSuL,Generative,n
28,Accuracy,0.9648,0,Active WeaSuL,Generative,n
29,Accuracy,0.9648,0,Active WeaSuL,Generative,n
30,Accuracy,0.9648,0,Active WeaSuL,Generative,n
0,Accuracy,0.9015,1,Active WeaSuL,Generative,n
1,Accuracy,0.9637,1,Active WeaSuL,Generative,n
2,Accuracy,0.9648,1,Active WeaSuL,Generative,n
3,Accuracy,0.9637,1,Active WeaSuL,Generative,n
4,Accuracy,0.9637,1,Active WeaSuL,Generative,n
5,Accuracy,0.9637,1,Active WeaSuL,Generative,n
6,Accuracy,0.9637,1,Active WeaSuL,Generative,n
7,Accuracy,0.9637,1,Active WeaSuL,Generative,n
8,Accuracy,0.9637,1,Active WeaSuL,Generative,n
