,Active Learning Iteration,Metric,Value,Run,Strategy
0,0,MCC,0.7752513259098819,0,Relative Entropy
1,0,Precision,0.8826693227091633,0,Relative Entropy
2,0,Recall,0.8922674184454289,0,Relative Entropy
3,0,Accuracy,0.8876,0,Relative Entropy
4,1,MCC,0.9574094924435625,0,Relative Entropy
5,1,Precision,0.9763479655241531,0,Relative Entropy
6,1,Recall,0.9808699154248892,0,Relative Entropy
7,1,Accuracy,0.9787,0,Relative Entropy
8,2,MCC,0.8344312403212745,0,Relative Entropy
9,2,Precision,0.9131389776357828,0,Relative Entropy
10,2,Recall,0.9208618606524366,0,Relative Entropy
11,2,Accuracy,0.9172,0,Relative Entropy
12,3,MCC,0.8408575002019527,0,Relative Entropy
13,3,Precision,0.9151732377538829,0,Relative Entropy
14,3,Recall,0.9254933548127265,0,Relative Entropy
15,3,Accuracy,0.9204,0,Relative Entropy
16,4,MCC,0.8996181513798949,0,Relative Entropy
17,4,Precision,0.946578631452581,0,Relative Entropy
18,4,Recall,0.9526782118405155,0,Relative Entropy
19,4,Accuracy,0.9498,0,Relative Entropy
20,5,MCC,0.9464167442544836,0,Relative Entropy
21,5,Precision,0.9701761409127302,0,Relative Entropy
22,5,Recall,0.9760370519532823,0,Relative Entropy
23,5,Accuracy,0.9732,0,Relative Entropy
24,6,MCC,0.9540084844160084,0,Relative Entropy
25,6,Precision,0.9747393744987971,0,Relative Entropy
26,6,Recall,0.9790575916230366,0,Relative Entropy
27,6,Accuracy,0.977,0,Relative Entropy
28,7,MCC,0.9426260434348434,0,Relative Entropy
29,7,Precision,0.9676194283429942,0,Relative Entropy
30,7,Recall,0.9748288360853806,0,Relative Entropy
31,7,Accuracy,0.9713,0,Relative Entropy
32,8,MCC,0.9310352740278703,0,Relative Entropy
33,8,Precision,0.961269714513875,0,Relative Entropy
34,8,Recall,0.9695932339911397,0,Relative Entropy
35,8,Accuracy,0.9655,0,Relative Entropy
36,9,MCC,0.9386177900414846,0,Relative Entropy
37,9,Precision,0.9661797078246949,0,Relative Entropy
38,9,Recall,0.9722110350382601,0,Relative Entropy
39,9,Accuracy,0.9693,0,Relative Entropy
40,10,MCC,0.9314352839242076,0,Relative Entropy
41,10,Precision,0.9614693551607107,0,Relative Entropy
42,10,Recall,0.9697946033024567,0,Relative Entropy
43,10,Accuracy,0.9657,0,Relative Entropy
44,11,MCC,0.9376216780637981,0,Relative Entropy
45,11,Precision,0.9654,0,Relative Entropy
46,11,Recall,0.9720096657269433,0,Relative Entropy
47,11,Accuracy,0.9688,0,Relative Entropy
48,12,MCC,0.9420217797953262,0,Relative Entropy
49,12,Precision,0.9676,0,Relative Entropy
50,12,Recall,0.9742247281514297,0,Relative Entropy
51,12,Accuracy,0.971,0,Relative Entropy
52,13,MCC,0.949634051297338,0,Relative Entropy
53,13,Precision,0.97064696485623,0,Relative Entropy
54,13,Recall,0.9788562223117196,0,Relative Entropy
55,13,Accuracy,0.9748,0,Relative Entropy
56,14,MCC,0.9530157104748992,0,Relative Entropy
57,14,Precision,0.9735735735735735,0,Relative Entropy
58,14,Recall,0.9792589609343536,0,Relative Entropy
59,14,Accuracy,0.9765,0,Relative Entropy
60,15,MCC,0.9534113476171027,0,Relative Entropy
61,15,Precision,0.9741534762572631,0,Relative Entropy
62,15,Recall,0.9790575916230366,0,Relative Entropy
63,15,Accuracy,0.9767,0,Relative Entropy
64,16,MCC,0.956806832233107,0,Relative Entropy
65,16,Precision,0.9763337344564781,0,Relative Entropy
66,16,Recall,0.9802658074909384,0,Relative Entropy
67,16,Accuracy,0.9784,0,Relative Entropy
68,17,MCC,0.957006032672526,0,Relative Entropy
69,17,Precision,0.9765295887662989,0,Relative Entropy
70,17,Recall,0.9802658074909384,0,Relative Entropy
71,17,Accuracy,0.9785,0,Relative Entropy
72,18,MCC,0.9546059663822791,0,Relative Entropy
73,18,Precision,0.9753259779338014,0,Relative Entropy
74,18,Recall,0.9790575916230366,0,Relative Entropy
75,18,Accuracy,0.9773,0,Relative Entropy
76,19,MCC,0.9552025260117994,0,Relative Entropy
77,19,Precision,0.9761044176706827,0,Relative Entropy
78,19,Recall,0.9788562223117196,0,Relative Entropy
79,19,Accuracy,0.9776,0,Relative Entropy
80,20,MCC,0.9580038770473952,0,Relative Entropy
81,20,Precision,0.9773183460457647,0,Relative Entropy
82,20,Recall,0.9804671768022554,0,Relative Entropy
83,20,Accuracy,0.979,0,Relative Entropy
84,21,MCC,0.9580026131508314,0,Relative Entropy
85,21,Precision,0.9775100401606426,0,Relative Entropy
86,21,Recall,0.9802658074909384,0,Relative Entropy
87,21,Accuracy,0.979,0,Relative Entropy
88,22,MCC,0.9582060658176496,0,Relative Entropy
89,22,Precision,0.9771313941825477,0,Relative Entropy
90,22,Recall,0.9808699154248892,0,Relative Entropy
91,22,Accuracy,0.9791,0,Relative Entropy
92,23,MCC,0.9576052829283263,0,Relative Entropy
93,23,Precision,0.9769261637239165,0,Relative Entropy
94,23,Recall,0.9804671768022554,0,Relative Entropy
95,23,Accuracy,0.9788,0,Relative Entropy
96,24,MCC,0.9584085988198842,0,Relative Entropy
97,24,Precision,0.976944667201283,0,Relative Entropy
98,24,Recall,0.9812726540475232,0,Relative Entropy
99,24,Accuracy,0.9792,0,Relative Entropy
100,25,MCC,0.9584085988198842,0,Relative Entropy
101,25,Precision,0.976944667201283,0,Relative Entropy
102,25,Recall,0.9812726540475232,0,Relative Entropy
103,25,Accuracy,0.9792,0,Relative Entropy
104,26,MCC,0.9594060989627731,0,Relative Entropy
105,26,Precision,0.9777331995987963,0,Relative Entropy
106,26,Recall,0.9814740233588402,0,Relative Entropy
107,26,Accuracy,0.9797,0,Relative Entropy
108,27,MCC,0.9588086092202365,0,Relative Entropy
109,27,Precision,0.9771451483560545,0,Relative Entropy
110,27,Recall,0.9814740233588402,0,Relative Entropy
111,27,Accuracy,0.9794,0,Relative Entropy
112,28,MCC,0.9580124957333805,0,Relative Entropy
113,28,Precision,0.9763621794871795,0,Relative Entropy
114,28,Recall,0.9814740233588402,0,Relative Entropy
115,28,Accuracy,0.979,0,Relative Entropy
116,29,MCC,0.958613582822298,0,Relative Entropy
117,29,Precision,0.9765671940717003,0,Relative Entropy
118,29,Recall,0.981876761981474,0,Relative Entropy
119,29,Accuracy,0.9793,0,Relative Entropy
120,30,MCC,0.9582077126910825,0,Relative Entropy
121,30,Precision,0.9769400441146983,0,Relative Entropy
122,30,Recall,0.9810712847362062,0,Relative Entropy
123,30,Accuracy,0.9791,0,Relative Entropy
0,0,MCC,0.7317330327915507,1,Relative Entropy
1,0,Precision,0.8585278986941037,1,Relative Entropy
2,0,Recall,0.873741441804269,1,Relative Entropy
3,0,Accuracy,0.8658,1,Relative Entropy
4,1,MCC,0.5208077996841028,1,Relative Entropy
5,1,Precision,0.7738425432046085,1,Relative Entropy
6,1,Recall,0.7303664921465969,1,Relative Entropy
7,1,Accuracy,0.7601,1,Relative Entropy
8,2,MCC,0.9536067457021773,1,Relative Entropy
9,2,Precision,0.9747292418772563,1,Relative Entropy
10,2,Recall,0.9786548530004028,1,Relative Entropy
