,Active Learning Iteration,Metric,Value,Run,Strategy
0,0,MCC,0.8188183458528233,0,Relative Entropy
1,0,Precision,0.9758351101634684,0,Relative Entropy
2,0,Recall,0.8291062801932367,0,Relative Entropy
3,0,Accuracy,0.9049,0,Relative Entropy
4,1,MCC,0.92720993625912,0,Relative Entropy
5,1,Precision,0.9611378205128205,0,Relative Entropy
6,1,Recall,0.965780998389694,0,Relative Entropy
7,1,Accuracy,0.9636,0,Relative Entropy
8,2,MCC,0.92720993625912,0,Relative Entropy
9,2,Precision,0.9611378205128205,0,Relative Entropy
10,2,Recall,0.965780998389694,0,Relative Entropy
11,2,Accuracy,0.9636,0,Relative Entropy
12,3,MCC,0.92720993625912,0,Relative Entropy
13,3,Precision,0.9611378205128205,0,Relative Entropy
14,3,Recall,0.965780998389694,0,Relative Entropy
15,3,Accuracy,0.9636,0,Relative Entropy
16,4,MCC,0.92720993625912,0,Relative Entropy
17,4,Precision,0.9611378205128205,0,Relative Entropy
18,4,Recall,0.965780998389694,0,Relative Entropy
19,4,Accuracy,0.9636,0,Relative Entropy
20,5,MCC,0.92720993625912,0,Relative Entropy
21,5,Precision,0.9611378205128205,0,Relative Entropy
22,5,Recall,0.965780998389694,0,Relative Entropy
23,5,Accuracy,0.9636,0,Relative Entropy
24,6,MCC,0.92720993625912,0,Relative Entropy
25,6,Precision,0.9611378205128205,0,Relative Entropy
26,6,Recall,0.965780998389694,0,Relative Entropy
27,6,Accuracy,0.9636,0,Relative Entropy
28,7,MCC,0.92720993625912,0,Relative Entropy
29,7,Precision,0.9611378205128205,0,Relative Entropy
30,7,Recall,0.965780998389694,0,Relative Entropy
31,7,Accuracy,0.9636,0,Relative Entropy
32,8,MCC,0.92720993625912,0,Relative Entropy
33,8,Precision,0.9611378205128205,0,Relative Entropy
34,8,Recall,0.965780998389694,0,Relative Entropy
35,8,Accuracy,0.9636,0,Relative Entropy
36,9,MCC,0.92720993625912,0,Relative Entropy
37,9,Precision,0.9611378205128205,0,Relative Entropy
38,9,Recall,0.965780998389694,0,Relative Entropy
39,9,Accuracy,0.9636,0,Relative Entropy
40,10,MCC,0.92720993625912,0,Relative Entropy
41,10,Precision,0.9611378205128205,0,Relative Entropy
42,10,Recall,0.965780998389694,0,Relative Entropy
43,10,Accuracy,0.9636,0,Relative Entropy
44,11,MCC,0.92720993625912,0,Relative Entropy
45,11,Precision,0.9611378205128205,0,Relative Entropy
46,11,Recall,0.965780998389694,0,Relative Entropy
47,11,Accuracy,0.9636,0,Relative Entropy
