Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model
0,Accuracy,0.9015,0,Relative Entropy,Generative
1,Accuracy,0.9637,0,Relative Entropy,Generative
2,Accuracy,0.9648,0,Relative Entropy,Generative
3,Accuracy,0.9648,0,Relative Entropy,Generative
4,Accuracy,0.9648,0,Relative Entropy,Generative
5,Accuracy,0.9648,0,Relative Entropy,Generative
6,Accuracy,0.9648,0,Relative Entropy,Generative
7,Accuracy,0.9648,0,Relative Entropy,Generative
8,Accuracy,0.9648,0,Relative Entropy,Generative
9,Accuracy,0.9648,0,Relative Entropy,Generative
10,Accuracy,0.9648,0,Relative Entropy,Generative
11,Accuracy,0.9648,0,Relative Entropy,Generative
12,Accuracy,0.9648,0,Relative Entropy,Generative
13,Accuracy,0.9648,0,Relative Entropy,Generative
14,Accuracy,0.9648,0,Relative Entropy,Generative
15,Accuracy,0.9648,0,Relative Entropy,Generative
16,Accuracy,0.9648,0,Relative Entropy,Generative
17,Accuracy,0.9648,0,Relative Entropy,Generative
18,Accuracy,0.9648,0,Relative Entropy,Generative
19,Accuracy,0.9648,0,Relative Entropy,Generative
20,Accuracy,0.9648,0,Relative Entropy,Generative
21,Accuracy,0.9648,0,Relative Entropy,Generative
22,Accuracy,0.9648,0,Relative Entropy,Generative
23,Accuracy,0.9648,0,Relative Entropy,Generative
24,Accuracy,0.9648,0,Relative Entropy,Generative
25,Accuracy,0.9648,0,Relative Entropy,Generative
26,Accuracy,0.9648,0,Relative Entropy,Generative
27,Accuracy,0.9648,0,Relative Entropy,Generative
28,Accuracy,0.9648,0,Relative Entropy,Generative
29,Accuracy,0.9648,0,Relative Entropy,Generative
30,Accuracy,0.9648,0,Relative Entropy,Generative
0,Accuracy,0.9015,1,Relative Entropy,Generative
1,Accuracy,0.9637,1,Relative Entropy,Generative
2,Accuracy,0.9648,1,Relative Entropy,Generative
3,Accuracy,0.9637,1,Relative Entropy,Generative
4,Accuracy,0.9637,1,Relative Entropy,Generative
5,Accuracy,0.9637,1,Relative Entropy,Generative
6,Accuracy,0.9637,1,Relative Entropy,Generative
7,Accuracy,0.9637,1,Relative Entropy,Generative
8,Accuracy,0.9637,1,Relative Entropy,Generative
9,Accuracy,0.9637,1,Relative Entropy,Generative
10,Accuracy,0.9648,1,Relative Entropy,Generative
11,Accuracy,0.9637,1,Relative Entropy,Generative
12,Accuracy,0.9637,1,Relative Entropy,Generative
13,Accuracy,0.9637,1,Relative Entropy,Generative
14,Accuracy,0.9648,1,Relative Entropy,Generative
15,Accuracy,0.9648,1,Relative Entropy,Generative
16,Accuracy,0.9648,1,Relative Entropy,Generative
17,Accuracy,0.9648,1,Relative Entropy,Generative
18,Accuracy,0.9648,1,Relative Entropy,Generative
19,Accuracy,0.9648,1,Relative Entropy,Generative
20,Accuracy,0.9648,1,Relative Entropy,Generative
21,Accuracy,0.9648,1,Relative Entropy,Generative
22,Accuracy,0.9648,1,Relative Entropy,Generative
23,Accuracy,0.9648,1,Relative Entropy,Generative
24,Accuracy,0.9648,1,Relative Entropy,Generative
25,Accuracy,0.9648,1,Relative Entropy,Generative
26,Accuracy,0.9648,1,Relative Entropy,Generative
27,Accuracy,0.9648,1,Relative Entropy,Generative
28,Accuracy,0.9648,1,Relative Entropy,Generative
29,Accuracy,0.9648,1,Relative Entropy,Generative
30,Accuracy,0.9648,1,Relative Entropy,Generative
0,Accuracy,0.9015,2,Relative Entropy,Generative
1,Accuracy,0.9637,2,Relative Entropy,Generative
2,Accuracy,0.9648,2,Relative Entropy,Generative
3,Accuracy,0.9648,2,Relative Entropy,Generative
4,Accuracy,0.9648,2,Relative Entropy,Generative
5,Accuracy,0.9648,2,Relative Entropy,Generative
6,Accuracy,0.9648,2,Relative Entropy,Generative
7,Accuracy,0.9648,2,Relative Entropy,Generative
8,Accuracy,0.9648,2,Relative Entropy,Generative
9,Accuracy,0.9648,2,Relative Entropy,Generative
10,Accuracy,0.9648,2,Relative Entropy,Generative
11,Accuracy,0.9648,2,Relative Entropy,Generative
12,Accuracy,0.9648,2,Relative Entropy,Generative
13,Accuracy,0.9648,2,Relative Entropy,Generative
14,Accuracy,0.9648,2,Relative Entropy,Generative
15,Accuracy,0.9648,2,Relative Entropy,Generative
16,Accuracy,0.9648,2,Relative Entropy,Generative
17,Accuracy,0.9648,2,Relative Entropy,Generative
18,Accuracy,0.9648,2,Relative Entropy,Generative
19,Accuracy,0.9648,2,Relative Entropy,Generative
20,Accuracy,0.9648,2,Relative Entropy,Generative
21,Accuracy,0.9648,2,Relative Entropy,Generative
22,Accuracy,0.9648,2,Relative Entropy,Generative
23,Accuracy,0.9648,2,Relative Entropy,Generative
24,Accuracy,0.9648,2,Relative Entropy,Generative
25,Accuracy,0.9637,2,Relative Entropy,Generative
26,Accuracy,0.9648,2,Relative Entropy,Generative
27,Accuracy,0.9637,2,Relative Entropy,Generative
28,Accuracy,0.9637,2,Relative Entropy,Generative
29,Accuracy,0.9637,2,Relative Entropy,Generative
30,Accuracy,0.9637,2,Relative Entropy,Generative
0,Accuracy,0.9015,3,Relative Entropy,Generative
1,Accuracy,0.9637,3,Relative Entropy,Generative
2,Accuracy,0.9648,3,Relative Entropy,Generative
3,Accuracy,0.9648,3,Relative Entropy,Generative
4,Accuracy,0.9648,3,Relative Entropy,Generative
5,Accuracy,0.9637,3,Relative Entropy,Generative
6,Accuracy,0.9648,3,Relative Entropy,Generative
7,Accuracy,0.9648,3,Relative Entropy,Generative
8,Accuracy,0.9648,3,Relative Entropy,Generative
9,Accuracy,0.9637,3,Relative Entropy,Generative
10,Accuracy,0.9648,3,Relative Entropy,Generative
11,Accuracy,0.9648,3,Relative Entropy,Generative
12,Accuracy,0.9637,3,Relative Entropy,Generative
13,Accuracy,0.9637,3,Relative Entropy,Generative
14,Accuracy,0.9637,3,Relative Entropy,Generative
15,Accuracy,0.9637,3,Relative Entropy,Generative
16,Accuracy,0.9648,3,Relative Entropy,Generative
17,Accuracy,0.9648,3,Relative Entropy,Generative
18,Accuracy,0.9648,3,Relative Entropy,Generative
19,Accuracy,0.9648,3,Relative Entropy,Generative
20,Accuracy,0.9648,3,Relative Entropy,Generative
21,Accuracy,0.9648,3,Relative Entropy,Generative
22,Accuracy,0.9648,3,Relative Entropy,Generative
23,Accuracy,0.9648,3,Relative Entropy,Generative
24,Accuracy,0.9648,3,Relative Entropy,Generative
25,Accuracy,0.9648,3,Relative Entropy,Generative
26,Accuracy,0.9648,3,Relative Entropy,Generative
27,Accuracy,0.9648,3,Relative Entropy,Generative
28,Accuracy,0.9648,3,Relative Entropy,Generative
29,Accuracy,0.9648,3,Relative Entropy,Generative
