,Active Learning Iteration,Metric,Value,Run,Set,Model,Label
0,0,MCC,0.27527689933795646,0,train,Generative,AL
1,0,Precision,0.8372093023255814,0,train,Generative,AL
2,0,Recall,0.2391232148787778,0,train,Generative,AL
3,0,Accuracy,0.5963135171039522,0,train,Generative,AL
4,1,MCC,0.40550532453383203,0,train,Generative,AL
5,1,Precision,0.7521674772679213,0,train,Generative,AL
6,1,Recall,0.5906675523082032,0,train,Generative,AL
7,1,Accuracy,0.6980239123214879,0,train,Generative,AL
8,2,MCC,-0.07502163136505807,0,train,Generative,AL
9,2,Precision,0.44586639365241876,0,train,Generative,AL
10,2,Recall,0.28927266688807707,0,train,Generative,AL
11,2,Accuracy,0.4648787778146795,0,train,Generative,AL
12,3,MCC,0.5110375018260875,0,train,Generative,AL
13,3,Precision,0.7600135203650499,0,train,Generative,AL
14,3,Recall,0.7467618731318498,0,train,Generative,AL
15,3,Accuracy,0.7554799070076387,0,train,Generative,AL
16,4,MCC,0.5110375018260875,0,train,Generative,AL
17,4,Precision,0.7600135203650499,0,train,Generative,AL
18,4,Recall,0.7467618731318498,0,train,Generative,AL
19,4,Accuracy,0.7554799070076387,0,train,Generative,AL
20,5,MCC,0.473202611126634,0,train,Generative,AL
21,5,Precision,0.7504842401831309,0,train,Generative,AL
22,5,Recall,0.7077382929259383,0,train,Generative,AL
23,5,Accuracy,0.7362172035868482,0,train,Generative,AL
24,6,MCC,0.5110375018260875,0,train,Generative,AL
25,6,Precision,0.7600135203650499,0,train,Generative,AL
26,6,Recall,0.7467618731318498,0,train,Generative,AL
27,6,Accuracy,0.7554799070076387,0,train,Generative,AL
28,7,MCC,0.5110375018260875,0,train,Generative,AL
29,7,Precision,0.7600135203650499,0,train,Generative,AL
30,7,Recall,0.7467618731318498,0,train,Generative,AL
31,7,Accuracy,0.7554799070076387,0,train,Generative,AL
32,8,MCC,0.5110375018260875,0,train,Generative,AL
33,8,Precision,0.7600135203650499,0,train,Generative,AL
34,8,Recall,0.7467618731318498,0,train,Generative,AL
35,8,Accuracy,0.7554799070076387,0,train,Generative,AL
36,9,MCC,0.5110375018260875,0,train,Generative,AL
37,9,Precision,0.7600135203650499,0,train,Generative,AL
38,9,Recall,0.7467618731318498,0,train,Generative,AL
39,9,Accuracy,0.7554799070076387,0,train,Generative,AL
40,10,MCC,0.5110375018260875,0,train,Generative,AL
41,10,Precision,0.7600135203650499,0,train,Generative,AL
42,10,Recall,0.7467618731318498,0,train,Generative,AL
43,10,Accuracy,0.7554799070076387,0,train,Generative,AL
44,11,MCC,0.5110375018260875,0,train,Generative,AL
45,11,Precision,0.7600135203650499,0,train,Generative,AL
46,11,Recall,0.7467618731318498,0,train,Generative,AL
47,11,Accuracy,0.7554799070076387,0,train,Generative,AL
48,12,MCC,0.5398957425028433,0,train,Generative,AL
49,12,Precision,0.7666065278005576,0,train,Generative,AL
