Active Learning Iteration,Metric,Value,Run,Set,Model,Label
0,MCC,0.12660513463509548,0,train,Generative,AL
0,Precision,0.3033175355450237,0,train,Generative,AL
0,Recall,0.37209302325581395,0,train,Generative,AL
0,Accuracy,0.6788413098236776,0,train,Generative,AL
1,MCC,0.5454796791302933,0,train,Generative,AL
1,Precision,0.8974358974358975,0,train,Generative,AL
1,Recall,0.4069767441860465,0,train,Generative,AL
1,Accuracy,0.8614609571788413,0,train,Generative,AL
2,MCC,-0.04296326353271999,0,train,Generative,AL
2,Precision,0.17,0,train,Generative,AL
2,Recall,0.09883720930232558,0,train,Generative,AL
2,Accuracy,0.7002518891687658,0,train,Generative,AL
3,MCC,0.3402540900192183,0,train,Generative,AL
3,Precision,0.6136363636363636,0,train,Generative,AL
3,Recall,0.313953488372093,0,train,Generative,AL
3,Accuracy,0.8085642317380353,0,train,Generative,AL
4,MCC,0.4804966623843209,0,train,Generative,AL
4,Precision,0.9152542372881356,0,train,Generative,AL
4,Recall,0.313953488372093,0,train,Generative,AL
4,Accuracy,0.845088161209068,0,train,Generative,AL
5,MCC,0.5454796791302933,0,train,Generative,AL
5,Precision,0.8974358974358975,0,train,Generative,AL
5,Recall,0.4069767441860465,0,train,Generative,AL
5,Accuracy,0.8614609571788413,0,train,Generative,AL
6,MCC,0.4482568655046728,0,train,Generative,AL
6,Precision,0.7721518987341772,0,train,Generative,AL
6,Recall,0.3546511627906977,0,train,Generative,AL
6,Accuracy,0.8375314861460957,0,train,Generative,AL
7,MCC,0.5183822879152591,0,train,Generative,AL
7,Precision,0.7857142857142857,0,train,Generative,AL
7,Recall,0.4476744186046512,0,train,Generative,AL
7,Accuracy,0.853904282115869,0,train,Generative,AL
8,MCC,0.5183822879152591,0,train,Generative,AL
8,Precision,0.7857142857142857,0,train,Generative,AL
8,Recall,0.4476744186046512,0,train,Generative,AL
8,Accuracy,0.853904282115869,0,train,Generative,AL
9,MCC,0.4804966623843209,0,train,Generative,AL
9,Precision,0.9152542372881356,0,train,Generative,AL
9,Recall,0.313953488372093,0,train,Generative,AL
9,Accuracy,0.845088161209068,0,train,Generative,AL
10,MCC,0.4804966623843209,0,train,Generative,AL
10,Precision,0.9152542372881356,0,train,Generative,AL
10,Recall,0.313953488372093,0,train,Generative,AL
10,Accuracy,0.845088161209068,0,train,Generative,AL
11,MCC,0.4804966623843209,0,train,Generative,AL
11,Precision,0.9152542372881356,0,train,Generative,AL
11,Recall,0.313953488372093,0,train,Generative,AL
11,Accuracy,0.845088161209068,0,train,Generative,AL
12,MCC,0.4804966623843209,0,train,Generative,AL
12,Precision,0.9152542372881356,0,train,Generative,AL
12,Recall,0.313953488372093,0,train,Generative,AL
12,Accuracy,0.845088161209068,0,train,Generative,AL
13,MCC,0.4804966623843209,0,train,Generative,AL
13,Precision,0.9152542372881356,0,train,Generative,AL
13,Recall,0.313953488372093,0,train,Generative,AL
13,Accuracy,0.845088161209068,0,train,Generative,AL
14,MCC,0.4804966623843209,0,train,Generative,AL
14,Precision,0.9152542372881356,0,train,Generative,AL
14,Recall,0.313953488372093,0,train,Generative,AL
14,Accuracy,0.845088161209068,0,train,Generative,AL
15,MCC,0.4804966623843209,0,train,Generative,AL
15,Precision,0.9152542372881356,0,train,Generative,AL
15,Recall,0.313953488372093,0,train,Generative,AL
15,Accuracy,0.845088161209068,0,train,Generative,AL
16,MCC,0.4804966623843209,0,train,Generative,AL
16,Precision,0.9152542372881356,0,train,Generative,AL
16,Recall,0.313953488372093,0,train,Generative,AL
16,Accuracy,0.845088161209068,0,train,Generative,AL
17,MCC,0.4804966623843209,0,train,Generative,AL
17,Precision,0.9152542372881356,0,train,Generative,AL
17,Recall,0.313953488372093,0,train,Generative,AL
17,Accuracy,0.845088161209068,0,train,Generative,AL
18,MCC,0.4804966623843209,0,train,Generative,AL
18,Precision,0.9152542372881356,0,train,Generative,AL
18,Recall,0.313953488372093,0,train,Generative,AL
18,Accuracy,0.845088161209068,0,train,Generative,AL
19,MCC,0.4804966623843209,0,train,Generative,AL
19,Precision,0.9152542372881356,0,train,Generative,AL
19,Recall,0.313953488372093,0,train,Generative,AL
19,Accuracy,0.845088161209068,0,train,Generative,AL
20,MCC,0.4804966623843209,0,train,Generative,AL
20,Precision,0.9152542372881356,0,train,Generative,AL
20,Recall,0.313953488372093,0,train,Generative,AL
20,Accuracy,0.845088161209068,0,train,Generative,AL
21,MCC,0.4804966623843209,0,train,Generative,AL
21,Precision,0.9152542372881356,0,train,Generative,AL
21,Recall,0.313953488372093,0,train,Generative,AL
21,Accuracy,0.845088161209068,0,train,Generative,AL
22,MCC,0.4804966623843209,0,train,Generative,AL
22,Precision,0.9152542372881356,0,train,Generative,AL
22,Recall,0.313953488372093,0,train,Generative,AL
22,Accuracy,0.845088161209068,0,train,Generative,AL
23,MCC,0.5454796791302933,0,train,Generative,AL
23,Precision,0.8974358974358975,0,train,Generative,AL
23,Recall,0.4069767441860465,0,train,Generative,AL
23,Accuracy,0.8614609571788413,0,train,Generative,AL
24,MCC,0.5454796791302933,0,train,Generative,AL
24,Precision,0.8974358974358975,0,train,Generative,AL
24,Recall,0.4069767441860465,0,train,Generative,AL
24,Accuracy,0.8614609571788413,0,train,Generative,AL
25,MCC,0.5454796791302933,0,train,Generative,AL
25,Precision,0.8974358974358975,0,train,Generative,AL
25,Recall,0.4069767441860465,0,train,Generative,AL
25,Accuracy,0.8614609571788413,0,train,Generative,AL
26,MCC,0.4804966623843209,0,train,Generative,AL
26,Precision,0.9152542372881356,0,train,Generative,AL
26,Recall,0.313953488372093,0,train,Generative,AL
26,Accuracy,0.845088161209068,0,train,Generative,AL
27,MCC,0.5454796791302933,0,train,Generative,AL
27,Precision,0.8974358974358975,0,train,Generative,AL
27,Recall,0.4069767441860465,0,train,Generative,AL
27,Accuracy,0.8614609571788413,0,train,Generative,AL
28,MCC,0.5454796791302933,0,train,Generative,AL
28,Precision,0.8974358974358975,0,train,Generative,AL
28,Recall,0.4069767441860465,0,train,Generative,AL
28,Accuracy,0.8614609571788413,0,train,Generative,AL
29,MCC,0.5454796791302933,0,train,Generative,AL
29,Precision,0.8974358974358975,0,train,Generative,AL
29,Recall,0.4069767441860465,0,train,Generative,AL
29,Accuracy,0.8614609571788413,0,train,Generative,AL
30,MCC,0.5454796791302933,0,train,Generative,AL
30,Precision,0.8974358974358975,0,train,Generative,AL
30,Recall,0.4069767441860465,0,train,Generative,AL
30,Accuracy,0.8614609571788413,0,train,Generative,AL
31,MCC,0.6129381696841567,0,train,Generative,AL
31,Precision,0.7952755905511811,0,train,Generative,AL
31,Recall,0.5872093023255814,0,train,Generative,AL
31,Accuracy,0.8778337531486146,0,train,Generative,AL
32,MCC,0.6129381696841567,0,train,Generative,AL
32,Precision,0.7952755905511811,0,train,Generative,AL
32,Recall,0.5872093023255814,0,train,Generative,AL
32,Accuracy,0.8778337531486146,0,train,Generative,AL
33,MCC,0.6129381696841567,0,train,Generative,AL
33,Precision,0.7952755905511811,0,train,Generative,AL
33,Recall,0.5872093023255814,0,train,Generative,AL
33,Accuracy,0.8778337531486146,0,train,Generative,AL
34,MCC,0.6129381696841567,0,train,Generative,AL
34,Precision,0.7952755905511811,0,train,Generative,AL
34,Recall,0.5872093023255814,0,train,Generative,AL
34,Accuracy,0.8778337531486146,0,train,Generative,AL
35,MCC,0.6129381696841567,0,train,Generative,AL
35,Precision,0.7952755905511811,0,train,Generative,AL
35,Recall,0.5872093023255814,0,train,Generative,AL
35,Accuracy,0.8778337531486146,0,train,Generative,AL
36,MCC,0.6129381696841567,0,train,Generative,AL
36,Precision,0.7952755905511811,0,train,Generative,AL
36,Recall,0.5872093023255814,0,train,Generative,AL
36,Accuracy,0.8778337531486146,0,train,Generative,AL
37,MCC,0.6129381696841567,0,train,Generative,AL
37,Precision,0.7952755905511811,0,train,Generative,AL
37,Recall,0.5872093023255814,0,train,Generative,AL
37,Accuracy,0.8778337531486146,0,train,Generative,AL
38,MCC,0.6129381696841567,0,train,Generative,AL
38,Precision,0.7952755905511811,0,train,Generative,AL
38,Recall,0.5872093023255814,0,train,Generative,AL
38,Accuracy,0.8778337531486146,0,train,Generative,AL
39,MCC,0.6129381696841567,0,train,Generative,AL
39,Precision,0.7952755905511811,0,train,Generative,AL
39,Recall,0.5872093023255814,0,train,Generative,AL
39,Accuracy,0.8778337531486146,0,train,Generative,AL
40,MCC,0.6129381696841567,0,train,Generative,AL
40,Precision,0.7952755905511811,0,train,Generative,AL
40,Recall,0.5872093023255814,0,train,Generative,AL
40,Accuracy,0.8778337531486146,0,train,Generative,AL
41,MCC,0.6129381696841567,0,train,Generative,AL
41,Precision,0.7952755905511811,0,train,Generative,AL
41,Recall,0.5872093023255814,0,train,Generative,AL
41,Accuracy,0.8778337531486146,0,train,Generative,AL
42,MCC,0.6129381696841567,0,train,Generative,AL
42,Precision,0.7952755905511811,0,train,Generative,AL
42,Recall,0.5872093023255814,0,train,Generative,AL
42,Accuracy,0.8778337531486146,0,train,Generative,AL
43,MCC,0.6129381696841567,0,train,Generative,AL
43,Precision,0.7952755905511811,0,train,Generative,AL
43,Recall,0.5872093023255814,0,train,Generative,AL
43,Accuracy,0.8778337531486146,0,train,Generative,AL
44,MCC,0.6129381696841567,0,train,Generative,AL
44,Precision,0.7952755905511811,0,train,Generative,AL
44,Recall,0.5872093023255814,0,train,Generative,AL
44,Accuracy,0.8778337531486146,0,train,Generative,AL
45,MCC,0.6129381696841567,0,train,Generative,AL
45,Precision,0.7952755905511811,0,train,Generative,AL
45,Recall,0.5872093023255814,0,train,Generative,AL
45,Accuracy,0.8778337531486146,0,train,Generative,AL
46,MCC,0.6129381696841567,0,train,Generative,AL
46,Precision,0.7952755905511811,0,train,Generative,AL
46,Recall,0.5872093023255814,0,train,Generative,AL
46,Accuracy,0.8778337531486146,0,train,Generative,AL
47,MCC,0.6129381696841567,0,train,Generative,AL
47,Precision,0.7952755905511811,0,train,Generative,AL
47,Recall,0.5872093023255814,0,train,Generative,AL
47,Accuracy,0.8778337531486146,0,train,Generative,AL
48,MCC,0.6129381696841567,0,train,Generative,AL
48,Precision,0.7952755905511811,0,train,Generative,AL
48,Recall,0.5872093023255814,0,train,Generative,AL
48,Accuracy,0.8778337531486146,0,train,Generative,AL
49,MCC,0.6129381696841567,0,train,Generative,AL
49,Precision,0.7952755905511811,0,train,Generative,AL
49,Recall,0.5872093023255814,0,train,Generative,AL
49,Accuracy,0.8778337531486146,0,train,Generative,AL
50,MCC,0.6129381696841567,0,train,Generative,AL
50,Precision,0.7952755905511811,0,train,Generative,AL
50,Recall,0.5872093023255814,0,train,Generative,AL
50,Accuracy,0.8778337531486146,0,train,Generative,AL
0,MCC,0.25900249271005615,1,train,Generative,AL
0,Precision,0.6326530612244898,1,train,Generative,AL
0,Recall,0.18023255813953487,1,train,Generative,AL
0,Accuracy,0.7997481108312342,1,train,Generative,AL
1,MCC,0.23773923707478614,1,train,Generative,AL
1,Precision,0.8421052631578947,1,train,Generative,AL
1,Recall,0.09302325581395349,1,train,Generative,AL
1,Accuracy,0.7997481108312342,1,train,Generative,AL
2,MCC,0.3525582196075267,1,train,Generative,AL
2,Precision,0.6911764705882353,1,train,Generative,AL
2,Recall,0.27325581395348836,1,train,Generative,AL
2,Accuracy,0.8161209068010076,1,train,Generative,AL
3,MCC,-0.017028452810630833,1,train,Generative,AL
3,Precision,0.2,1,train,Generative,AL
3,Recall,0.13953488372093023,1,train,Generative,AL
3,Accuracy,0.6926952141057935,1,train,Generative,AL
4,MCC,0.3525582196075267,1,train,Generative,AL
4,Precision,0.6911764705882353,1,train,Generative,AL
4,Recall,0.27325581395348836,1,train,Generative,AL
4,Accuracy,0.8161209068010076,1,train,Generative,AL
5,MCC,-0.051728865355015995,1,train,Generative,AL
5,Precision,0.19161676646706588,1,train,Generative,AL
5,Recall,0.37209302325581395,1,train,Generative,AL
5,Accuracy,0.5239294710327456,1,train,Generative,AL
6,MCC,0.021727609438233052,1,train,Generative,AL
6,Precision,0.22662889518413598,1,train,Generative,AL
6,Recall,0.46511627906976744,1,train,Generative,AL
6,Accuracy,0.5403022670025189,1,train,Generative,AL
7,MCC,0.5183822879152591,1,train,Generative,AL
7,Precision,0.7857142857142857,1,train,Generative,AL
7,Recall,0.4476744186046512,1,train,Generative,AL
7,Accuracy,0.853904282115869,1,train,Generative,AL
8,MCC,0.5454796791302933,1,train,Generative,AL
8,Precision,0.8974358974358975,1,train,Generative,AL
8,Recall,0.4069767441860465,1,train,Generative,AL
8,Accuracy,0.8614609571788413,1,train,Generative,AL
9,MCC,0.5454796791302933,1,train,Generative,AL
9,Precision,0.8974358974358975,1,train,Generative,AL
9,Recall,0.4069767441860465,1,train,Generative,AL
9,Accuracy,0.8614609571788413,1,train,Generative,AL
10,MCC,0.5454796791302933,1,train,Generative,AL
10,Precision,0.8974358974358975,1,train,Generative,AL
10,Recall,0.4069767441860465,1,train,Generative,AL
10,Accuracy,0.8614609571788413,1,train,Generative,AL
11,MCC,0.5454796791302933,1,train,Generative,AL
11,Precision,0.8974358974358975,1,train,Generative,AL
11,Recall,0.4069767441860465,1,train,Generative,AL
11,Accuracy,0.8614609571788413,1,train,Generative,AL
12,MCC,0.5454796791302933,1,train,Generative,AL
12,Precision,0.8974358974358975,1,train,Generative,AL
12,Recall,0.4069767441860465,1,train,Generative,AL
12,Accuracy,0.8614609571788413,1,train,Generative,AL
13,MCC,0.5454796791302933,1,train,Generative,AL
13,Precision,0.8974358974358975,1,train,Generative,AL
13,Recall,0.4069767441860465,1,train,Generative,AL
13,Accuracy,0.8614609571788413,1,train,Generative,AL
14,MCC,0.5454796791302933,1,train,Generative,AL
14,Precision,0.8974358974358975,1,train,Generative,AL
14,Recall,0.4069767441860465,1,train,Generative,AL
14,Accuracy,0.8614609571788413,1,train,Generative,AL
15,MCC,0.5454796791302933,1,train,Generative,AL
15,Precision,0.8974358974358975,1,train,Generative,AL
15,Recall,0.4069767441860465,1,train,Generative,AL
15,Accuracy,0.8614609571788413,1,train,Generative,AL
16,MCC,0.5454796791302933,1,train,Generative,AL
16,Precision,0.8974358974358975,1,train,Generative,AL
16,Recall,0.4069767441860465,1,train,Generative,AL
16,Accuracy,0.8614609571788413,1,train,Generative,AL
17,MCC,0.5454796791302933,1,train,Generative,AL
17,Precision,0.8974358974358975,1,train,Generative,AL
17,Recall,0.4069767441860465,1,train,Generative,AL
17,Accuracy,0.8614609571788413,1,train,Generative,AL
18,MCC,0.5454796791302933,1,train,Generative,AL
18,Precision,0.8974358974358975,1,train,Generative,AL
18,Recall,0.4069767441860465,1,train,Generative,AL
18,Accuracy,0.8614609571788413,1,train,Generative,AL
19,MCC,0.5454796791302933,1,train,Generative,AL
19,Precision,0.8974358974358975,1,train,Generative,AL
19,Recall,0.4069767441860465,1,train,Generative,AL
19,Accuracy,0.8614609571788413,1,train,Generative,AL
20,MCC,0.5454796791302933,1,train,Generative,AL
20,Precision,0.8974358974358975,1,train,Generative,AL
20,Recall,0.4069767441860465,1,train,Generative,AL
20,Accuracy,0.8614609571788413,1,train,Generative,AL
21,MCC,0.5454796791302933,1,train,Generative,AL
21,Precision,0.8974358974358975,1,train,Generative,AL
21,Recall,0.4069767441860465,1,train,Generative,AL
