Active Learning Iteration,Metric,Value,Run,Set
0,MCC,0.12660513463509548,0,train
0,Precision,0.3033175355450237,0,train
0,Recall,0.37209302325581395,0,train
0,Accuracy,0.6788413098236776,0,train
1,MCC,0.12660513463509548,0,train
1,Precision,0.3033175355450237,0,train
1,Recall,0.37209302325581395,0,train
1,Accuracy,0.6788413098236776,0,train
2,MCC,0.20585772459244128,0,train
2,Precision,0.5897435897435898,0,train
2,Recall,0.13372093023255813,0,train
2,Accuracy,0.792191435768262,0,train
3,MCC,0.23773923707478614,0,train
3,Precision,0.8421052631578947,0,train
3,Recall,0.09302325581395349,0,train
3,Accuracy,0.7997481108312342,0,train
4,MCC,0.4804966623843209,0,train
4,Precision,0.9152542372881356,0,train
4,Recall,0.313953488372093,0,train
4,Accuracy,0.845088161209068,0,train
5,MCC,0.4482568655046728,0,train
5,Precision,0.7721518987341772,0,train
5,Recall,0.3546511627906977,0,train
5,Accuracy,0.8375314861460957,0,train
6,MCC,0.5454796791302933,0,train
6,Precision,0.8974358974358975,0,train
6,Recall,0.4069767441860465,0,train
6,Accuracy,0.8614609571788413,0,train
7,MCC,0.5454796791302933,0,train
7,Precision,0.8974358974358975,0,train
7,Recall,0.4069767441860465,0,train
7,Accuracy,0.8614609571788413,0,train
8,MCC,0.5183822879152591,0,train
8,Precision,0.7857142857142857,0,train
8,Recall,0.4476744186046512,0,train
8,Accuracy,0.853904282115869,0,train
9,MCC,0.5183822879152591,0,train
9,Precision,0.7857142857142857,0,train
9,Recall,0.4476744186046512,0,train
9,Accuracy,0.853904282115869,0,train
10,MCC,0.5183822879152591,0,train
10,Precision,0.7857142857142857,0,train
10,Recall,0.4476744186046512,0,train
10,Accuracy,0.853904282115869,0,train
11,MCC,0.5183822879152591,0,train
11,Precision,0.7857142857142857,0,train
11,Recall,0.4476744186046512,0,train
11,Accuracy,0.853904282115869,0,train
12,MCC,0.5183822879152591,0,train
12,Precision,0.7857142857142857,0,train
12,Recall,0.4476744186046512,0,train
12,Accuracy,0.853904282115869,0,train
13,MCC,0.5183822879152591,0,train
13,Precision,0.7857142857142857,0,train
13,Recall,0.4476744186046512,0,train
13,Accuracy,0.853904282115869,0,train
14,MCC,0.5183822879152591,0,train
14,Precision,0.7857142857142857,0,train
14,Recall,0.4476744186046512,0,train
14,Accuracy,0.853904282115869,0,train
15,MCC,0.4804966623843209,0,train
15,Precision,0.9152542372881356,0,train
15,Recall,0.313953488372093,0,train
15,Accuracy,0.845088161209068,0,train
16,MCC,0.4804966623843209,0,train
16,Precision,0.9152542372881356,0,train
16,Recall,0.313953488372093,0,train
16,Accuracy,0.845088161209068,0,train
17,MCC,0.4482568655046728,0,train
17,Precision,0.7721518987341772,0,train
17,Recall,0.3546511627906977,0,train
17,Accuracy,0.8375314861460957,0,train
18,MCC,0.4482568655046728,0,train
18,Precision,0.7721518987341772,0,train
18,Recall,0.3546511627906977,0,train
18,Accuracy,0.8375314861460957,0,train
19,MCC,0.4482568655046728,0,train
19,Precision,0.7721518987341772,0,train
19,Recall,0.3546511627906977,0,train
19,Accuracy,0.8375314861460957,0,train
20,MCC,0.4482568655046728,0,train
20,Precision,0.7721518987341772,0,train
20,Recall,0.3546511627906977,0,train
20,Accuracy,0.8375314861460957,0,train
21,MCC,0.4482568655046728,0,train
21,Precision,0.7721518987341772,0,train
21,Recall,0.3546511627906977,0,train
21,Accuracy,0.8375314861460957,0,train
22,MCC,0.4804966623843209,0,train
22,Precision,0.9152542372881356,0,train
22,Recall,0.313953488372093,0,train
22,Accuracy,0.845088161209068,0,train
23,MCC,0.4804966623843209,0,train
23,Precision,0.9152542372881356,0,train
23,Recall,0.313953488372093,0,train
23,Accuracy,0.845088161209068,0,train
24,MCC,0.5494141341426007,0,train
24,Precision,0.7870370370370371,0,train
