Run,Number of labeled points,Model,Metric,Value,Set,Approach,Dash
0,0,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
0,0,Discriminative,Accuracy,0.8686666666666667,test,Active WeaSuL,
0,1,Generative,Accuracy,0.961,test,Active WeaSuL,
0,1,Discriminative,Accuracy,0.97,test,Active WeaSuL,
0,2,Generative,Accuracy,0.961,test,Active WeaSuL,
0,2,Discriminative,Accuracy,0.974,test,Active WeaSuL,
0,3,Generative,Accuracy,0.961,test,Active WeaSuL,
0,3,Discriminative,Accuracy,0.97,test,Active WeaSuL,
0,4,Generative,Accuracy,0.961,test,Active WeaSuL,
0,4,Discriminative,Accuracy,0.9683333333333334,test,Active WeaSuL,
0,5,Generative,Accuracy,0.961,test,Active WeaSuL,
0,5,Discriminative,Accuracy,0.9686666666666667,test,Active WeaSuL,
0,6,Generative,Accuracy,0.961,test,Active WeaSuL,
0,6,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
0,7,Generative,Accuracy,0.961,test,Active WeaSuL,
0,7,Discriminative,Accuracy,0.9736666666666667,test,Active WeaSuL,
0,8,Generative,Accuracy,0.961,test,Active WeaSuL,
0,8,Discriminative,Accuracy,0.9733333333333334,test,Active WeaSuL,
0,9,Generative,Accuracy,0.961,test,Active WeaSuL,
0,9,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
0,10,Generative,Accuracy,0.961,test,Active WeaSuL,
0,10,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
0,11,Generative,Accuracy,0.961,test,Active WeaSuL,
0,11,Discriminative,Accuracy,0.975,test,Active WeaSuL,
0,12,Generative,Accuracy,0.961,test,Active WeaSuL,
0,12,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
0,13,Generative,Accuracy,0.961,test,Active WeaSuL,
0,13,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
0,14,Generative,Accuracy,0.961,test,Active WeaSuL,
0,14,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
0,15,Generative,Accuracy,0.961,test,Active WeaSuL,
0,15,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
0,16,Generative,Accuracy,0.961,test,Active WeaSuL,
0,16,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
0,17,Generative,Accuracy,0.961,test,Active WeaSuL,
0,17,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
0,18,Generative,Accuracy,0.961,test,Active WeaSuL,
0,18,Discriminative,Accuracy,0.975,test,Active WeaSuL,
0,19,Generative,Accuracy,0.961,test,Active WeaSuL,
0,19,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
0,20,Generative,Accuracy,0.961,test,Active WeaSuL,
0,20,Discriminative,Accuracy,0.975,test,Active WeaSuL,
0,21,Generative,Accuracy,0.961,test,Active WeaSuL,
0,21,Discriminative,Accuracy,0.9736666666666667,test,Active WeaSuL,
0,22,Generative,Accuracy,0.961,test,Active WeaSuL,
0,22,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
0,23,Generative,Accuracy,0.961,test,Active WeaSuL,
0,23,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
0,24,Generative,Accuracy,0.961,test,Active WeaSuL,
